"","control","id","type"
"733",29.4558,"ts 523","decreasing"
"734",31.4586,"ts 523","decreasing"
"735",27.2282,"ts 523","decreasing"
"736",34.9086,"ts 523","decreasing"
"737",31.9488,"ts 523","decreasing"
"738",31.6268,"ts 523","decreasing"
"739",33.4221,"ts 523","decreasing"
"740",27.656,"ts 523","decreasing"
"741",33.7478,"ts 523","decreasing"
"742",31.9782,"ts 523","decreasing"
"743",33.0997,"ts 523","decreasing"
"744",32.6532,"ts 523","decreasing"
"745",24.083,"ts 523","decreasing"
"746",28.8477,"ts 523","decreasing"
"747",30.8736,"ts 523","decreasing"
"748",25.1391,"ts 523","decreasing"
"749",24.2513,"ts 523","decreasing"
"750",22.4225,"ts 523","decreasing"
"751",20.1968,"ts 523","decreasing"
"752",24.3886,"ts 523","decreasing"
"753",17.9222,"ts 523","decreasing"
"754",17.0123,"ts 523","decreasing"
"755",20.4285,"ts 523","decreasing"
"756",26.3988,"ts 523","decreasing"
"757",19.3092,"ts 523","decreasing"
"758",28.2253,"ts 523","decreasing"
"759",20.315,"ts 523","decreasing"
"760",24.1433,"ts 523","decreasing"
"761",16.6854,"ts 523","decreasing"
"762",19.5439,"ts 523","decreasing"
"763",25.6291,"ts 523","decreasing"
"764",16.8297,"ts 523","decreasing"
"765",16.9924,"ts 523","decreasing"
"766",22.6292,"ts 523","decreasing"
"767",18.5748,"ts 523","decreasing"
"768",24.8329,"ts 523","decreasing"
"769",28.0685,"ts 523","decreasing"
"770",17.6608,"ts 523","decreasing"
"771",17.4419,"ts 523","decreasing"
"772",26.5438,"ts 523","decreasing"
"773",20.9713,"ts 523","decreasing"
"774",17.7948,"ts 523","decreasing"
"775",17.2708,"ts 523","decreasing"
"776",23.5686,"ts 523","decreasing"
"777",24.6853,"ts 523","decreasing"
"778",21.1835,"ts 523","decreasing"
"779",26.9937,"ts 523","decreasing"
"780",21.0572,"ts 523","decreasing"
"781",34.9791,"ts 524","decreasing"
"782",24.3371,"ts 524","decreasing"
"783",32.2926,"ts 524","decreasing"
"784",32.4824,"ts 524","decreasing"
"785",25.0987,"ts 524","decreasing"
"786",34.0783,"ts 524","decreasing"
"787",33.1805,"ts 524","decreasing"
"788",28.2513,"ts 524","decreasing"
"789",28.8873,"ts 524","decreasing"
"790",30.0837,"ts 524","decreasing"
"791",32.9455,"ts 524","decreasing"
"792",35.931,"ts 524","decreasing"
"793",25.8383,"ts 524","decreasing"
"794",24.9717,"ts 524","decreasing"
"795",26.1218,"ts 524","decreasing"
"796",28.8954,"ts 524","decreasing"
"797",26.3642,"ts 524","decreasing"
"798",33.457,"ts 524","decreasing"
"799",29.2553,"ts 524","decreasing"
"800",34.1499,"ts 524","decreasing"
"801",26.3524,"ts 524","decreasing"
"802",26.4278,"ts 524","decreasing"
"803",26.6147,"ts 524","decreasing"
"804",24.9435,"ts 524","decreasing"
"805",16.9506,"ts 524","decreasing"
"806",26.6885,"ts 524","decreasing"
"807",25.5005,"ts 524","decreasing"
"808",19.1524,"ts 524","decreasing"
"809",19.9133,"ts 524","decreasing"
"810",17.996,"ts 524","decreasing"
"811",23.6564,"ts 524","decreasing"
"812",21.9855,"ts 524","decreasing"
"813",26.2111,"ts 524","decreasing"
"814",18.8498,"ts 524","decreasing"
"815",22.1357,"ts 524","decreasing"
"816",23.0725,"ts 524","decreasing"
"817",22.3983,"ts 524","decreasing"
"818",16.7368,"ts 524","decreasing"
"819",18.4837,"ts 524","decreasing"
"820",23.4155,"ts 524","decreasing"
"821",18.5432,"ts 524","decreasing"
"822",20.4476,"ts 524","decreasing"
"823",19.7528,"ts 524","decreasing"
"824",15.8937,"ts 524","decreasing"
"825",23.9806,"ts 524","decreasing"
"826",20.0088,"ts 524","decreasing"
"827",19.8189,"ts 524","decreasing"
"828",24.7367,"ts 524","decreasing"
"829",26.6624,"ts 524","decreasing"
"830",20.0547,"ts 524","decreasing"
"831",21.0932,"ts 524","decreasing"
"832",23.8451,"ts 524","decreasing"
"833",23.1055,"ts 524","decreasing"
"834",17.6692,"ts 524","decreasing"
"835",18.277,"ts 524","decreasing"
"836",17.1103,"ts 524","decreasing"
"837",19.5971,"ts 524","decreasing"
"838",18.3196,"ts 524","decreasing"
"839",24.2579,"ts 524","decreasing"
"840",16.3828,"ts 524","decreasing"
"841",28.9736,"ts 525","decreasing"
"842",29.0261,"ts 525","decreasing"
"843",31.4039,"ts 525","decreasing"
"844",27.894,"ts 525","decreasing"
"845",35.9853,"ts 525","decreasing"
"846",35.848,"ts 525","decreasing"
"847",27.6997,"ts 525","decreasing"
"848",24.6584,"ts 525","decreasing"
"849",29.0643,"ts 525","decreasing"
"850",32.8158,"ts 525","decreasing"
"851",28.3908,"ts 525","decreasing"
"852",34.4742,"ts 525","decreasing"
"853",27.9906,"ts 525","decreasing"
"854",35.545,"ts 525","decreasing"
"855",32.5136,"ts 525","decreasing"
"856",24.8685,"ts 525","decreasing"
"857",25.7006,"ts 525","decreasing"
"858",35.7367,"ts 525","decreasing"
"859",27.0861,"ts 525","decreasing"
"860",34.111,"ts 525","decreasing"
"861",35.7576,"ts 525","decreasing"
"862",34.7515,"ts 525","decreasing"
"863",32.2859,"ts 525","decreasing"
"864",31.1689,"ts 525","decreasing"
"865",32.6759,"ts 525","decreasing"
"866",25.5967,"ts 525","decreasing"
"867",24.6305,"ts 525","decreasing"
"868",33.3579,"ts 525","decreasing"
"869",33.6564,"ts 525","decreasing"
"870",32.0006,"ts 525","decreasing"
"871",17.4412,"ts 525","decreasing"
"872",19.4437,"ts 525","decreasing"
"873",26.4396,"ts 525","decreasing"
"874",22.0884,"ts 525","decreasing"
"875",16.8382,"ts 525","decreasing"
"876",22.7681,"ts 525","decreasing"
"877",18.0541,"ts 525","decreasing"
"878",24.0809,"ts 525","decreasing"
"879",27.261,"ts 525","decreasing"
"880",17.3439,"ts 525","decreasing"
"881",20.4634,"ts 525","decreasing"
"882",23.8727,"ts 525","decreasing"
"883",26.3107,"ts 525","decreasing"
"884",26.6349,"ts 525","decreasing"
"885",16.2555,"ts 525","decreasing"
"886",17.0413,"ts 525","decreasing"
"887",22.7483,"ts 525","decreasing"
"888",19.8281,"ts 525","decreasing"
"889",21.2115,"ts 525","decreasing"
"890",23.7706,"ts 525","decreasing"
"891",24.1867,"ts 525","decreasing"
"892",16.2786,"ts 525","decreasing"
"893",25.1705,"ts 525","decreasing"
"894",21.0818,"ts 525","decreasing"
"895",25.2986,"ts 525","decreasing"
"896",20.1036,"ts 525","decreasing"
"897",21.2845,"ts 525","decreasing"
"898",19.0195,"ts 525","decreasing"
"899",21.4333,"ts 525","decreasing"
"900",22.9591,"ts 525","decreasing"
