#,접수번호,접수일자,검체유형,시설명,시료명,의뢰기관,의뢰자,대표자,진행상황,부적합항목수,부적합항목,제조번호,제조일자,유통기한,확인일,의뢰구분,성적서용도,검사목적,검사결과,공문번호,공문의뢰일,문서시행번호,문서시행일,최종승인일,담당팀,담당자,채취방법,채취확인자,업체명,업종,배출시설,의뢰주소,전화번호,이동전화,이메일,채취일자,채취장소,처리기간,처리일,수수료,항목수
,2792400074-02,2024-03-27,실내공기질/실내공기질/나,서울대효요양병원,6층 복도,양주시,양주시장,,결과승인완료,0,,,,,2024-04-09,관원,,,적합,기후에너지과-2273,2024-01-18,경기도보건환경연구원북부지원-5001,2024-04-09,2024-04-09,대기환경팀(B),김지영,,,,,의료기관,경기도 양주시 부흥로 1533,,,,2024-03-27,경기 양주시 고읍남로 36 (광사동) 골든스퀘어 3~6층,12,2024-04-12,0,5
,2792400075-01,2024-03-27,실내공기질/실내공기질/나,성신요양원,1층 복도,양주시,양주시장,,결과승인완료,0,,,,,2024-04-12,관원,,,부적합,기후에너지과-2273,2024-01-18,경기도보건환경연구원북부지원-5098,2024-04-12,2024-04-12,대기환경팀(B),김지영,,,,,노인요양시설,경기도 양주시 부흥로 1533,,,,2024-03-27,경기 양주시 양주산성로49번길 54 (남방동),12,2024-04-12,0,5
,2792400075-02,2024-03-27,실내공기질/실내공기질/나,성신요양원,2층 복도,양주시,양주시장,,결과승인완료,1,이산화탄소,,,,2024-04-12,관원,,,부적합,기후에너지과-2273,2024-01-18,경기도보건환경연구원북부지원-5098,2024-04-12,2024-04-12,대기환경팀(B),김지영,,,,,노인요양시설,경기도 양주시 부흥로 1533,,,,2024-03-27,경기 양주시 양주산성로49번길 54 (남방동),12,2024-04-12,0,5
,2792400076-01,2024-03-27,실내공기질/실내공기질/나,서진요양원,1층 복도,양주시,양주시장,,결과승인완료,0,,,,,2024-04-09,관원,,,적합,기후에너지과-2273,2024-01-18,경기도보건환경연구원북부지원-5001,2024-04-09,2024-04-09,대기환경팀(B),김지영,,,,,노인요양시설,경기도 양주시 부흥로 1533,,,,2024-03-27,경기 양주시 원학로147번길 53 에이동(광사동),12,2024-04-12,0,5
,2792400076-02,2024-03-27,실내공기질/실내공기질/나,서진요양원,2층 물리치료실,양주시,양주시장,,결과승인완료,1,이산화탄소,,,,2024-04-09,관원,,,적합,기후에너지과-2273,2024-01-18,경기도보건환경연구원북부지원-5001,2024-04-09,2024-04-09,대기환경팀(B),김지영,,,,,노인요양시설,경기도 양주시 부흥로 1533,,,,2024-03-27,경기 양주시 원학로147번길 53 에이동(광사동),12,2024-04-12,0,5
,2792400077-01,2024-03-28,대기및악취/자체개선/대 기,덴타시설,환경관리5-5,경기도 기후환경관리과,기후환경관리과장,,결과승인완료,0,,,,,2024-03-28,관원,,,적합,기후환경관리과-8035,2024-03-27,경기도보건환경연구원북부지원-4298,2024-03-28,2024-03-28,대기환경팀(B),김재광,,,,,덴타시설,경기 수원시 팔달구 효원로 1 신관3층 104호 (매산로3가),,,,2024-03-26,,3,2024-04-01,0,2
,2792400078-01,2024-03-25,대기및악취/지도점검/대 기,,15-03-10,포천시,포천시장,,결과승인완료,0,,,,,2024-04-01,관원,,,적합,환경지도과-5805,2024-03-28,경기도보건환경연구원북부지원-4478,2024-04-01,2024-04-01,대기환경팀(B),김찬혁,,,,,도장시설,경기도 포천시 중앙로 87,,,,2024-03-25,,20,2024-04-22,0,2
,2792400078-02,2024-03-27,대기및악취/지도점검/대 기,,15-03-11,포천시,포천시장,,결과승인완료,0,,,,,2024-04-01,관원,,,적합,환경지도과-5805,2024-03-28,경기도보건환경연구원북부지원-4478,2024-04-01,2024-04-01,대기환경팀(B),김찬혁,,,,,제재시설,경기도 포천시 중앙로 87,,,,2024-03-26,,20,2024-04-24,0,2
,2792400078-03,2024-03-27,대기및악취/지도점검/대 기,,15-03-12,포천시,포천시장,,결과승인완료,0,,,,,2024-04-01,관원,,,적합,환경지도과-5805,2024-03-28,경기도보건환경연구원북부지원-4478,2024-04-01,2024-04-01,대기환경팀(B),김찬혁,,,,,제재시설,경기도 포천시 중앙로 87,,,,2024-03-26,,20,2024-04-24,0,2
,2792400078-04,2024-03-27,대기및악취/지도점검/대 기,,15-03-13,포천시,포천시장,,결과승인완료,0,,,,,2024-04-01,관원,,,적합,환경지도과-5805,2024-03-28,경기도보건환경연구원북부지원-4478,2024-04-01,2024-04-01,대기환경팀(B),김찬혁,,,,,도장시설,경기도 포천시 중앙로 87,,,,2024-03-27,,20,2024-04-24,0,2
,2792400079-01,2024-04-01,실내공기질/실내공기질/나,윤서병원,1층 로비,구리시,구리시장,,결과승인완료,0,,,,,2024-04-15,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5230,2024-04-15,2024-04-15,대기환경팀(B),김지영,,,,,의료기관,경기도 구리시 아차산로 439,,,,2024-04-01,경기 구리시 건원대로 47 (인창동),12,2024-04-17,0,5
,2792400079-02,2024-04-01,실내공기질/실내공기질/나,윤서병원,2층 물리치료실,구리시,구리시장,,결과승인완료,1,이산화탄소,,,,2024-04-15,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5230,2024-04-15,2024-04-15,대기환경팀(B),김지영,,,,,의료기관,경기도 구리시 아차산로 439,,,,2024-04-01,경기 구리시 건원대로 47 (인창동),12,2024-04-17,0,5
,2792400080-01,2024-04-01,실내공기질/실내공기질/나,좋은아침병원,1층 로비,구리시,구리시장,,결과승인완료,2,"이산화탄소,총부유세균",,,,2024-04-15,관원,,,부적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5230,2024-04-15,2024-04-15,대기환경팀(B),김지영,,,,,의료기관,경기도 구리시 아차산로 439,,,,2024-04-01,경기 구리시 경춘로 144 (교문동),12,2024-04-17,0,5
,2792400080-02,2024-04-01,실내공기질/실내공기질/나,좋은아침병원,5층 복도,구리시,구리시장,,결과승인완료,0,,,,,2024-04-15,관원,,,부적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5230,2024-04-15,2024-04-15,대기환경팀(B),김지영,,,,,의료기관,경기도 구리시 아차산로 439,,,,2024-04-01,경기 구리시 경춘로 144 (교문동),12,2024-04-17,0,5
,2792400081-01,2024-04-01,실내공기질/실내공기질/나,율치한방병원,6F 로비,구리시,구리시장,,결과승인완료,0,,,,,2024-04-15,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5230,2024-04-15,2024-04-15,대기환경팀(B),김지영,,,,,의료기관,경기도 구리시 아차산로 439,,,,2024-04-01,경기 구리시 체육관로 163 (교문동),12,2024-04-17,0,5
,2792400081-02,2024-04-01,실내공기질/실내공기질/나,율치한방병원,7F 로비,구리시,구리시장,,결과승인완료,0,,,,,2024-04-15,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5230,2024-04-15,2024-04-15,대기환경팀(B),김지영,,,,,의료기관,경기도 구리시 아차산로 439,,,,2024-04-01,경기 구리시 체육관로 163 (교문동),12,2024-04-17,0,5
,2792400082-01,2024-04-01,대기및악취/지도점검/대 기,(주)21그램그룹,(주)21그램그룹,남양주시,남양주시장,,결과승인완료,0,,,,,2024-04-02,관원,,,적합,기후에너지과-14333,2024-03-26,경기도보건환경연구원북부지원-4615,2024-04-02,2024-04-02,대기환경팀(B),김재광,,,,,동물화장시설,경기 남양주시 경춘로 1037 (금곡동),,,,2024-03-29,경기 남양주시 화도읍 수레로964번길 86 (주)21그램그룹,0,,0,2
,2792400083-01,2024-04-01,실내공기질/실내공기질/나,리체한방병원,1F 로비,구리시,구리시장,,결과승인완료,0,,,,,2024-04-15,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5230,2024-04-15,2024-04-15,대기환경팀(B),김지영,,,,,의료시설,경기도 구리시 아차산로 439,,,,2024-04-01,경기 구리시 경춘로162번길 26 (교문동),12,2024-04-17,0,5
,2792400083-02,2024-04-01,실내공기질/실내공기질/나,리체한방병원,3F 로비,구리시,구리시장,,결과승인완료,0,,,,,2024-04-15,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5230,2024-04-15,2024-04-15,대기환경팀(B),김지영,,,,,의료시설,경기도 구리시 아차산로 439,,,,2024-04-01,경기 구리시 경춘로162번길 26 (교문동),12,2024-04-17,0,5
,2792400084-01,2024-03-27,대기및악취/지도점검/대 기,양주시 대기배출사업장,10-24-012,양주시,양주시장,,결과승인완료,0,,,,,2024-04-02,관원,,,적합,기후에너지과-10473,2024-03-29,경기도보건환경연구원북부지원-4602,2024-04-02,2024-04-02,대기환경팀(B),위효빈,,,,,도장시설(29.3m3*2기),경기도 양주시 부흥로 1533,,,,2024-03-27,측정공,0,,0,2
,2792400085-01,2024-04-03,실내공기질/실내공기질/나,구리한빛요양병원,3층 치료실,구리시,구리시장,,결과승인완료,0,,,,,2024-04-17,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5413,2024-04-18,2024-04-17,대기환경팀(B),김지영,,,,,의료기관,경기도 구리시 아차산로 439,,,,2024-04-03,경기 구리시 검배로 42 (수택동),12,2024-04-19,0,5
,2792400085-02,2024-04-03,실내공기질/실내공기질/나,구리한빛요양병원,4층 로비,구리시,구리시장,,결과승인완료,0,,,,,2024-04-17,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5413,2024-04-18,2024-04-17,대기환경팀(B),김지영,,,,,의료기관,경기도 구리시 아차산로 439,,,,2024-04-03,경기 구리시 검배로 42 (수택동),12,2024-04-19,0,5
,2792400086-01,2024-04-03,실내공기질/실내공기질/나,리베산후조리원 구리점,3층 로비,구리시,구리시장,,결과승인완료,0,,,,,2024-04-17,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5349,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,산후조리원,경기도 구리시 아차산로 439,,,,2024-04-03,경기 구리시 벌말로 145 (토평동) 3층,12,2024-04-19,0,5
,2792400086-02,2024-04-03,실내공기질/실내공기질/나,리베산후조리원 구리점,3층 복도,구리시,구리시장,,결과승인완료,0,,,,,2024-04-17,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5349,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,산후조리원,경기도 구리시 아차산로 439,,,,2024-04-03,경기 구리시 벌말로 145 (토평동) 3층,12,2024-04-19,0,5
,2792400087-01,2024-04-03,실내공기질/실내공기질/나,효사랑 요양원,1F 로비,구리시,구리시장,,결과승인완료,1,이산화탄소,,,,2024-04-17,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5349,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,노인요양시설,경기도 구리시 아차산로 439,,,,2024-04-03,경기 구리시 동구릉로460번길 8 (사노동),12,2024-04-19,0,5
,2792400087-02,2024-04-03,실내공기질/실내공기질/나,효사랑 요양원,4F 생활실,구리시,구리시장,,결과승인완료,0,,,,,2024-04-17,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-5349,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,노인요양시설,경기도 구리시 아차산로 439,,,,2024-04-03,경기 구리시 동구릉로460번길 8 (사노동),12,2024-04-19,0,5
,2792400088-01,2024-04-03,실내공기질/실내공기질/나,축복의 향기 요양원,A동 1F 로비,의정부시,의정부시장,,결과승인완료,0,,,,,2024-04-17,관원,,,적합,환경관리과-1524,2024-01-19,경기도보건환경연구원북부지원-5350,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,노인요양시설,경기 의정부시 호국로1049번길 39 (가능동),,,,2024-04-03,경기 의정부시 송산로939번길 79 (산곡동),12,2024-04-19,0,5
,2792400088-02,2024-04-03,실내공기질/실내공기질/나,축복의 향기 요양원,C동 1F 로비,의정부시,의정부시장,,결과승인완료,0,,,,,2024-04-17,관원,,,적합,환경관리과-1524,2024-01-19,경기도보건환경연구원북부지원-5350,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,노인요양시설,경기 의정부시 호국로1049번길 39 (가능동),,,,2024-04-03,경기 의정부시 송산로939번길 79 (산곡동),12,2024-04-19,0,5
,2792400089-01,2024-04-02,실내공기질/실내공기질/신축공동주택,남양주 다산진건지구 오피스텔 개발사업,611호,남양주시,남양주시장,,결과승인완료,0,,,,,2024-04-17,관원,,,상기실험확인함,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-5351,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,신축공동주택,경기 남양주시 경춘로 1037 (금곡동),,,,2024-04-02,경기 남양주시 다산동 6056,12,2024-04-18,0,8
,2792400089-02,2024-04-02,실내공기질/실내공기질/신축공동주택,남양주 다산진건지구 오피스텔 개발사업,612호,남양주시,남양주시장,,결과승인완료,0,,,,,2024-04-17,관원,,,상기실험확인함,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-5351,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,신축공동주택,경기 남양주시 경춘로 1037 (금곡동),,,,2024-04-02,경기 남양주시 다산동 6056,12,2024-04-18,0,8
,2792400089-03,2024-04-02,실내공기질/실내공기질/신축공동주택,남양주 다산진건지구 오피스텔 개발사업,910호,남양주시,남양주시장,,결과승인완료,1,라돈(밀폐),,,,2024-04-17,관원,,,부적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-5351,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,신축공동주택,경기 남양주시 경춘로 1037 (금곡동),,,,2024-04-02,경기 남양주시 다산동 6056,12,2024-04-18,0,9
,2792400089-04,2024-04-02,실내공기질/실내공기질/신축공동주택,남양주 다산진건지구 오피스텔 개발사업,911호,남양주시,남양주시장,,결과승인완료,1,라돈(밀폐),,,,2024-04-17,관원,,,부적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-5351,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,신축공동주택,경기 남양주시 경춘로 1037 (금곡동),,,,2024-04-02,경기 남양주시 다산동 6056,12,2024-04-18,0,9
,2792400089-05,2024-04-02,실내공기질/실내공기질/신축공동주택,남양주 다산진건지구 오피스텔 개발사업,912호,남양주시,남양주시장,,결과승인완료,1,라돈(밀폐),,,,2024-04-17,관원,,,부적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-5351,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,신축공동주택,경기 남양주시 경춘로 1037 (금곡동),,,,2024-04-02,경기 남양주시 다산동 6056,12,2024-04-18,0,9
,2792400089-06,2024-04-02,실내공기질/실내공기질/신축공동주택,남양주 다산진건지구 오피스텔 개발사업,1211호,남양주시,남양주시장,,결과승인완료,0,,,,,2024-04-17,관원,,,상기실험확인함,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-5351,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,신축공동주택,경기 남양주시 경춘로 1037 (금곡동),,,,2024-04-02,경기 남양주시 다산동 6056,12,2024-04-18,0,8
,2792400089-07,2024-04-02,실내공기질/실내공기질/신축공동주택,남양주 다산진건지구 오피스텔 개발사업,1212호,남양주시,남양주시장,,결과승인완료,0,,,,,2024-04-17,관원,,,상기실험확인함,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-5351,2024-04-17,2024-04-17,대기환경팀(B),김지영,,,,,신축공동주택,경기 남양주시 경춘로 1037 (금곡동),,,,2024-04-02,경기 남양주시 다산동 6056,12,2024-04-18,0,8
,2792400090-01,2024-04-08,대기및악취/지도점검/대 기,양주시 대기배출사업장,10-24-013,양주시,양주시장,,결과승인완료,0,,,,,2024-04-09,관원,,,적합,기후에너지과-11540,2024-04-08,경기도보건환경연구원북부지원-4975,2024-04-09,2024-04-09,대기환경팀(B),위효빈,,,,,도장 및 건조시설,경기도 양주시 부흥로 1533,,,,2024-04-08,측정공,0,2024-05-08,0,2
,2792400090-02,2024-04-08,대기및악취/지도점검/대 기,양주시 대기배출사업장,10-24-014,양주시,양주시장,,결과승인완료,0,,,,,2024-04-09,관원,,,적합,기후에너지과-11540,2024-04-08,경기도보건환경연구원북부지원-4975,2024-04-09,2024-04-09,대기환경팀(B),위효빈,,,,,도장시설(9.35m3*2기),경기도 양주시 부흥로 1533,,,,2024-04-08,측정공,0,2024-05-08,0,2
,2792400090-03,2024-04-08,대기및악취/지도점검/대 기,양주시 대기배출사업장,10-24-015,양주시,양주시장,,결과승인완료,0,,,,,2024-04-09,관원,,,적합,기후에너지과-11540,2024-04-08,경기도보건환경연구원북부지원-4975,2024-04-09,2024-04-09,대기환경팀(B),위효빈,,,,,"도장시설(32.4m3, 16.2m3)",경기도 양주시 부흥로 1533,,,,2024-04-08,측정공,0,2024-05-08,0,2
,2792400091-01,2024-04-08,실내공기질/실내공기질/나,범문의료재단 진요양병원,3층 구검진실,포천시,포천시장,,결과승인완료,0,,,,,2024-04-22,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5655,2024-04-22,2024-04-22,대기환경팀(B),김지영,,,,,의료기관,"경기도 포천시 중앙로 92, 2층(신읍동)",,,,2024-04-08,경기 포천시 소흘읍 송우로 80,12,2024-04-24,0,5
,2792400091-02,2024-04-08,실내공기질/실내공기질/나,범문의료재단 진요양병원,4층 휴게실,포천시,포천시장,,결과승인완료,0,,,,,2024-04-22,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5655,2024-04-22,2024-04-22,대기환경팀(B),김지영,,,,,의료기관,"경기도 포천시 중앙로 92, 2층(신읍동)",,,,2024-04-08,경기 포천시 소흘읍 송우로 80,12,2024-04-24,0,5
,2792400092-01,2024-04-08,실내공기질/실내공기질/나,신광새싹어린이집,1층 가람반,포천시,포천시장,,결과승인완료,0,,,,,2024-04-22,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5655,2024-04-22,2024-04-22,대기환경팀(B),김지영,,,,,어린이집,"경기도 포천시 중앙로 92, 2층(신읍동)",,,,2024-04-08,경기 포천시 소흘읍 화합로264번길 73,12,2024-04-24,0,5
,2792400092-02,2024-04-08,실내공기질/실내공기질/나,신광새싹어린이집,2층 산들반,포천시,포천시장,,결과승인완료,0,,,,,2024-04-22,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5655,2024-04-22,2024-04-22,대기환경팀(B),김지영,,,,,어린이집,"경기도 포천시 중앙로 92, 2층(신읍동)",,,,2024-04-08,경기 포천시 소흘읍 화합로264번길 73,12,2024-04-24,0,5
,2792400093-01,2024-04-08,실내공기질/실내공기질/나,원암어린이집,1F 샘물반,포천시,포천시장,,결과승인완료,0,,,,,2024-04-22,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5655,2024-04-22,2024-04-22,대기환경팀(B),김지영,,,,,어린이집,경기 포천시 중앙로 92 2층 (신읍동),,,,2024-04-08,경기 포천시 소흘읍 송선로 67,12,2024-04-24,0,5
,2792400093-02,2024-04-08,실내공기질/실내공기질/나,원암어린이집,1F 별님반,포천시,포천시장,,결과승인완료,0,,,,,2024-04-22,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5655,2024-04-22,2024-04-22,대기환경팀(B),김지영,,,,,어린이집,경기 포천시 중앙로 92 2층 (신읍동),,,,2024-04-08,경기 포천시 소흘읍 송선로 67,12,2024-04-24,0,5
,2792400094-01,2024-04-08,실내공기질/실내공기질/나,짐랜드 어린이집,1F 로비,포천시,포천시장,,결과승인완료,1,총부유세균,,,,2024-04-22,관원,,,부적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5655,2024-04-22,2024-04-22,대기환경팀(B),김지영,,,,,어린이집,경기 포천시 중앙로 92 2층 (신읍동),,,,2024-04-08,경기 포천시 송선로 203 (설운동),12,2024-04-24,0,5
,2792400094-02,2024-04-08,실내공기질/실내공기질/나,짐랜드 어린이집,3F 강당,포천시,포천시장,,결과승인완료,1,총부유세균,,,,2024-04-22,관원,,,부적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5655,2024-04-22,2024-04-22,대기환경팀(B),김지영,,,,,어린이집,경기 포천시 중앙로 92 2층 (신읍동),,,,2024-04-08,경기 포천시 송선로 203 (설운동),12,2024-04-24,0,5
,2792400095-01,2024-04-11,실내공기질/실내공기질/나,서울베스트케어,1층 로비,포천시,포천시장,,결과승인완료,0,,,,,2024-04-23,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5704,2024-04-23,2024-04-23,대기환경팀(B),김지영,,,,,노인요양시설,경기 포천시 중앙로 92 2층 (신읍동),,,,2024-04-11,경기 포천시 소흘읍 광릉수목원로 1159-1,11,2024-04-25,0,5
,2792400095-02,2024-04-11,실내공기질/실내공기질/나,서울베스트케어,4층 생활실,포천시,포천시장,,결과승인완료,0,,,,,2024-04-23,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5704,2024-04-23,2024-04-23,대기환경팀(B),김지영,,,,,노인요양시설,경기 포천시 중앙로 92 2층 (신읍동),,,,2024-04-11,경기 포천시 소흘읍 광릉수목원로 1159-1,11,2024-04-25,0,5
,2792400096-01,2024-04-11,실내공기질/실내공기질/나,드림시니어케어,1층 로비,포천시,포천시장,,결과승인완료,0,,,,,2024-04-23,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5704,2024-04-23,2024-04-23,대기환경팀(B),김지영,,,,,노인요양시설,경기 포천시 중앙로 92 2층 (신읍동),,,,2024-04-11,경기 포천시 소흘읍 광릉수목원로 1159-2,11,2024-04-25,0,5
,2792400096-02,2024-04-11,실내공기질/실내공기질/나,드림시니어케어,4층 생활관,포천시,포천시장,,결과승인완료,0,,,,,2024-04-23,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5704,2024-04-23,2024-04-23,대기환경팀(B),김지영,,,,,노인요양시설,경기 포천시 중앙로 92 2층 (신읍동),,,,2024-04-11,경기 포천시 소흘읍 광릉수목원로 1159-2,11,2024-04-25,0,5
,2792400097-01,2024-04-11,실내공기질/실내공기질/나,J아람어린이집,1F 복도,포천시,포천시장,,결과승인완료,1,총부유세균,,,,2024-04-23,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5704,2024-04-23,2024-04-23,대기환경팀(B),김지영,,,,,어린이집,경기 포천시 중앙로 92 2층 (신읍동),,,,2024-04-11,경기 포천시 소흘읍 검바위1길 14-59,11,2024-04-25,0,5
,2792400097-02,2024-04-11,실내공기질/실내공기질/나,J아람어린이집,2F 복도,포천시,포천시장,,결과승인완료,0,,,,,2024-04-23,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5704,2024-04-23,2024-04-23,대기환경팀(B),김지영,,,,,어린이집,경기 포천시 중앙로 92 2층 (신읍동),,,,2024-04-11,경기 포천시 소흘읍 검바위1길 14-59,11,2024-04-25,0,5
,2792400098-01,2024-04-11,실내공기질/실내공기질/나,올리어린이집,1F 로비,포천시,포천시장,,결과승인완료,0,,,,,2024-04-23,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5704,2024-04-23,2024-04-23,대기환경팀(B),김지영,,,,,어린이집,경기 포천시 중앙로 92 2층 (신읍동),,,,2024-04-11,경기 포천시 소흘읍 태봉로63번길 13,11,2024-04-25,0,5
,2792400098-02,2024-04-11,실내공기질/실내공기질/나,올리어린이집,2F 소리반,포천시,포천시장,,결과승인완료,0,,,,,2024-04-23,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5704,2024-04-23,2024-04-23,대기환경팀(B),김지영,,,,,어린이집,경기 포천시 중앙로 92 2층 (신읍동),,,,2024-04-11,경기 포천시 소흘읍 태봉로63번길 13,11,2024-04-25,0,5
,2792400099-01,2024-04-12,대기및악취/지도점검/대 기,,15-04-01,포천시,포천시장,,결과승인완료,0,,,,,2024-04-12,관원,,,적합,환경지도과-6617,2024-04-09,경기도보건환경연구원북부지원-5143,2024-04-12,2024-04-12,대기환경팀(B),김찬혁,,,,,제재시설,경기도 포천시 중앙로 87,,,,2024-04-03,,20,2024-05-10,0,2
,2792400099-02,2024-04-12,대기및악취/지도점검/대 기,,15-04-02,포천시,포천시장,,결과승인완료,0,,,,,2024-04-12,관원,,,적합,환경지도과-6617,2024-04-09,경기도보건환경연구원북부지원-5143,2024-04-12,2024-04-12,대기환경팀(B),김찬혁,,,,,제재시설,경기도 포천시 중앙로 87,,,,2024-04-04,,20,2024-05-10,0,2
,2792400100-01,2024-04-16,대기및악취/지도점검/대 기,,15-04-03,포천시,포천시장,,결과승인완료,0,,,,,2024-04-16,관원,,,적합,환경지도과-6929,2024-04-15,경기도보건환경연구원북부지원-5273,2024-04-17,2024-04-16,대기환경팀(B),김찬혁,,,,,도장시설,경기도 포천시 중앙로 87,,,,2024-04-08,,20,2024-05-14,0,2
,2792400100-02,2024-04-16,대기및악취/지도점검/대 기,,15-04-04,포천시,포천시장,,결과승인완료,0,,,,,2024-04-16,관원,,,적합,환경지도과-6929,2024-04-15,경기도보건환경연구원북부지원-5273,2024-04-17,2024-04-16,대기환경팀(B),김찬혁,,,,,제재시설,경기도 포천시 중앙로 87,,,,2024-04-08,,20,2024-05-14,0,2
,2792400101-01,2024-04-16,실내공기질/실내공기질/나,아이정원어린이집,1층 로비,포천시,포천시장,,결과승인완료,1,총부유세균,,,,2024-04-29,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5975,2024-04-29,2024-04-29,대기환경팀(B),김지영,,,,,어린이집,경기도 포천시 중앙로 87,,,,2024-04-16,경기 포천시 왕방로252번길 8 (신읍동),11,2024-04-30,0,5
,2792400101-02,2024-04-16,실내공기질/실내공기질/나,아이정원어린이집,2층 예다움반,포천시,포천시장,,결과승인완료,0,,,,,2024-04-29,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5975,2024-04-29,2024-04-29,대기환경팀(B),김지영,,,,,어린이집,경기도 포천시 중앙로 87,,,,2024-04-16,경기 포천시 왕방로252번길 8 (신읍동),11,2024-04-30,0,5
,2792400102-01,2024-04-16,실내공기질/실내공기질/나,포천분도마을,1층 휴게실,포천시,포천시장,,결과승인완료,0,,,,,2024-04-29,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5975,2024-04-29,2024-04-29,대기환경팀(B),김지영,,,,,노인요양시설,경기도 포천시 중앙로 87,,,,2024-04-16,경기 포천시 자작로4길 71 (자작동),11,2024-04-30,0,5
,2792400102-02,2024-04-16,실내공기질/실내공기질/나,포천분도마을,1층 다목적실,포천시,포천시장,,결과승인완료,0,,,,,2024-04-29,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5975,2024-04-29,2024-04-29,대기환경팀(B),김지영,,,,,노인요양시설,경기도 포천시 중앙로 87,,,,2024-04-16,경기 포천시 자작로4길 71 (자작동),11,2024-04-30,0,5
,2792400103-01,2024-04-16,실내공기질/실내공기질/가,시크릿피시방,4층 로비,포천시,포천시장,,결과승인완료,0,,,,,2024-04-29,관원,,,적합,환경지도과-1312,2024-01-18,경기도보건환경연구원북부지원-5975,2024-04-29,2024-04-29,대기환경팀(B),김지영,,,,,인터넷컴퓨터게임시설,경기도 포천시 중앙로 87,,,,2024-04-16,경기 포천시 소흘읍 솔모루로 31,11,2024-04-30,0,4
